Name,Date,Rate
The Suicide Squad,2021,7.3
Friends,2021,8.8
Eternals,2021,No Rate
Brooklyn Nine-Nine,2021,8.4
Cruella,2021,7.4
The Blacklist,2021,8.0
Supernatural,2021,8.4
Downton Abbey,2021,8.7
Animal Kingdom,2021,8.2
Criminal Minds,2021,8.1
Halloween,1978,7.7
Vigil,1978,7.3
Infinite,2021,5.5
V/H/S/94,2021,5.5
The Good Doctor,2021,8.1
Dexter,2021,8.6
The Green Knight,2021,6.6
Last Man Down,2021,No Rate
The French Dispatch,2021,7.4
The Boys,2021,8.7
Ridley Road,2021,6.6
Vikings,2021,8.5
Spider-Man: No Way Home,2021,No Rate
Silent Witness,2021,7.8
Ghosts,2021,7.0
The Card Counter,2021,6.2
Lamb,2021,6.7
Midsomer Murders,2021,7.8
Rick and Morty,2021,9.2
After We Fell,2021,5.0
Riverdale,2021,6.7
The Harder They Fall,2021,5.2
Licorice Pizza,2021,No Rate
Chicago Med,2021,7.6
The Lost Symbol,2021,6.7
Star Wars: Visions,2021,7.2
Promising Young Woman,2020,7.5
Modern Family,2020,8.4
The Mandalorian,2020,8.8
Queenpins,2021,6.2
The Big Bang Theory,2021,8.1
The Wire,2021,9.3
Doctor Who,2021,8.6
Candyman,2021,6.0
The White Lotus,2021,7.7
The Witcher,2021,8.2
The Starling,2021,6.3
Kate,2021,6.3
The Sandman,2021,No Rate
Knives Out,2019,7.9
New Amsterdam,2019,8.1
Cry Macho,2021,5.8
Castle,2021,8.1
Black Mirror,2021,8.8
Law & Order: Organized Crime,2021,7.6
Till Death,2021,5.8
The Voyeurs,2021,5.9
The Crown,2021,8.6
Better Call Saul,2021,8.8
The Handmaid's Tale,2021,8.4
Lost,2021,8.3
Outlander,2021,8.4
The Simpsons,2021,8.6
Dear Evan Hansen,2021,6.0
CSI: Crime Scene Investigation,2021,7.6
Loki,2021,8.3
It's Always Sunny in Philadelphia,2021,8.8
Hypnotic,2021,No Rate
Superstore,2021,7.8
The Resident,2021,7.7
Gisaengchung,2019,8.6
Mr. Robot,2019,8.5
Last Night in Soho,2021,7.4
Titanic,1997,7.8
Shiddat,2021,8.0
Scream,2022,No Rate
Ozark,2022,8.4
Rise of the Footsoldier: Origins,2021,6.4
F9,2021,5.2
Shingeki no kyojin,2021,9.0
365 dni,2020,3.3
Archer,2020,8.6
How I Met Your Mother,2020,8.3
Chehre,2021,6.6
Young Sheldon,2021,7.5
The Batman,2022,No Rate
Black Mafia Family,2022,6.8
Manifest,2022,7.1
S.W.A.T.,2022,7.1
Friday Night Lights,2022,8.6
9-1-1,2022,7.8
Heat,1995,8.2
Old Henry,2021,7.2
Chicago P.D.,2021,8.1
Shameless,2021,8.5
The Expanse,2021,8.5
Muppets Haunted Mansion,2021,6.7
Westworld,2021,8.6
American Rust,2021,7.0
Ghosts,2021,8.2
Fear the Walking Dead,2021,6.9
Cinderella,2021,4.2
Bridgerton,2021,7.3
Halloween,2018,6.5
The Addams Family,2019,5.8
House M.D.,2019,8.7
Good Girls,2019,7.8
The Flash,2019,7.6
Scream,1996,7.3
Suits,1996,8.4
Once Upon a Time... in Hollywood,2019,7.6
My Little Pony: A New Generation,2021,7.0
Jungle Cruise,2021,6.6
Gilmore Girls,2021,8.1
True Detective,2021,8.9
Bones,2021,7.8
American Horror Stories,2021,6.1
Intrusion,2021,5.2
Leverage: Redemption,2021,8.8
Blade Runner 2049,2017,8.0
The X Files,2017,8.6
Ordinary Joe,2017,6.6
Schitt's Creek,2017,8.5
The Matrix Resurrections,2021,No Rate
The Vampire Diaries,2021,7.7
Grantchester,2021,7.9
Blue Bayou,2021,7.1
The Matrix,1999,8.7
Manhunt,1999,7.5
ER,1999,7.7
One of Us Is Lying,1999,6.6
The Wolf of Wall Street,2013,8.2
The Last Kingdom,2013,8.4
The Shawshank Redemption,1994,9.3
Star Trek: The Next Generation,1994,8.6
The Walking Dead: World Beyond,1994,4.2
FBI,1994,6.9
Fargo,1994,8.9
Joker,2019,8.4
Harry Potter and the Sorcerer's Stone,2001,7.6
Curb Your Enthusiasm,2001,8.7
Boruto: Naruto Next Generations,2001,7.1
Zodiac,2007,7.7
Supergirl,2007,6.2
Snake Eyes: G.I. Joe Origins,2021,5.4
The Addams Family,1991,6.9
Brassic,1991,8.3
Sons of Anarchy,1991,8.5
Midsommar,2019,7.1
Spencer,2021,6.7
Chapelwaite,2021,7.5
Dave Chappelle: The Closer,2021,8.1
Kin,2021,7.7
The Wheel of Time,2021,No Rate
Avengers: Endgame,2019,8.4
Cyrano,2021,6.9
Blue Bloods,2021,7.6
Dexter: New Blood,2021,No Rate
Wrath of Man,2021,7.2
Hocus Pocus 2,2022,No Rate
Community,2022,8.5
The Duff,2015,6.5
NCIS: Hawai'i,2015,5.4
Family Guy,2015,8.1
Evil,2015,7.7
A Nightmare on Elm Street,1984,7.5
Tenet,2020,7.4
Survive the Game,2021,5.5
New Girl,2021,7.7
Busanhaeng,2016,7.6
FBI: International,2016,6.1
Killing Eve,2016,8.2
Dark,2016,8.8
Hotel Transylvania: Transformania,2022,6.9
Pretty Smart,2022,5.9
Heels,2022,8.2
Stargirl,2022,7.2
This Is Us,2022,8.6
Gladiator,2000,8.5
Kota Factory,2000,9.2
Escape Room: Tournament of Champions,2021,5.8
The 100,2021,7.6
GoldenEye,1995,7.2
The Godfather,1972,9.2
Rocketman,2019,7.3
Chucky,2019,7.6
Good Witch,2019,7.3
Sex/Life,2019,5.3
Buffy the Vampire Slayer,2019,8.2
Beetle Juice,1988,7.5
Magnum P.I.,1988,5.9
Friendzone,2021,5.9
The Nightmare Before Christmas,1993,8.0
Interstellar,2014,8.6
The Rocky Horror Picture Show,1975,7.4
Pig,2021,6.9
The Orville,2021,8.0
Endeavour,2021,8.6
Batoru rowaiaru,2000,7.6
Homeland,2000,8.3
Halloween,2007,6.1
Knock Knock,2015,4.9
The Dark Knight,2008,9.0
Two and a Half Men,2008,7.0
The Protégé,2021,6.1
I Know What You Did Last Summer,2021,5.1
Parks and Recreation,2021,8.6
Star Trek: Lower Decks,2021,7.2
One Piece: Wan pîsu,2021,8.8
Ghostbusters: Afterlife,2021,No Rate
A Quiet Place Part II,2020,7.3
Cobra Kai,2020,8.6
FBI: Most Wanted,2020,6.8
Don't Breathe 2,2021,6.1
House of Wax,2005,5.4
Wonder Woman 1984,2020,5.4
Zack Snyder's Justice League,2021,8.1
A Million Little Things,2021,7.9
Reservation Dogs,2021,8.2
Mad Men,2021,8.6
Killers of the Flower Moon,2021,No Rate
The Goldbergs,2021,8.0
Nobody,2021,7.4
The Tomorrow War,2021,6.6
1917,2019,8.3
Cowboy Bebop,2019,No Rate
Sweet Home,2019,7.4
The 355,2022,No Rate
Station 19,2022,6.7
Law & Order,2022,7.7
The Hunger Games,2012,7.2
Jennifer's Body,2009,5.3
Prison Break,2009,8.3
House of Gucci,2021,No Rate
Outer Banks,2021,7.6
Braqueurs,2021,7.0
The Power of the Dog,2021,6.6
Halloween II,1981,6.5
Sherlock,1981,9.1
Trick 'r Treat,2007,6.8
Prisoners,2013,8.1
Hereditary,2018,7.3
Black as Night,2021,3.9
The Good Girl,2002,6.4
Teen Wolf,2002,7.6
Dr. Death,2021,7.7
It,2017,7.3
The Father,2020,8.3
Die Another Day,2002,6.1
Call the Midwife,2002,8.5
Inception,2010,8.8
Doctor Sleep,2019,7.3
Pulp Fiction,1994,8.9
Ask 101,1994,7.5
The Departed,2006,8.5
Spider-Man,2002,7.3
Euphoria,2002,8.4
The Umbrella Academy,2002,8.0
Once Upon a Time,2002,7.7
Reminiscence,2021,5.9
Hollington Drive,2021,4.6
Heartland,2021,8.4
Boku no hîrô akademia,2021,8.4
Knives Out 2,2022,No Rate
Scary Movie,2000,6.2
South Park,2000,8.7
Turner & Hooch,2000,6.6
Mortal Kombat,2021,6.1
Ghostbusters,1984,7.8
Locke & Key,1984,7.4
The Sinner,1984,7.9
Fight Club,1999,8.8
Rakka,2017,7.4
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Help,2021,8.0
Mean Girls,2004,7.0
Daredevil,2004,8.6
The Shining,1980,8.4
Star Trek: Deep Space Nine,1980,8.0
Dr. No,1962,7.2
Hawaii Five-0,1962,7.3
Arrow,1962,7.5
Léon,1994,8.5
The Manor,2021,5.3
Bosch,2021,8.4
South of Heaven,2021,5.7
Encanto,2021,No Rate
Don't Look Up,2021,No Rate
Legends of Tomorrow,2021,6.8
Bingo Hell,2021,4.3
Django Unchained,2012,8.4
Zhang jin hu,2021,5.2
Friday the 13th,1980,6.4
Gone Girl,2014,8.1
Bob's Burgers,2014,8.1
Truth Be Told,2014,7.1
Virgin River,2014,7.4
"If I Can't Have Love, I Want Power",2021,7.0
SEAL Team,2021,7.6
Poltergeist,1982,7.3
The Silence of the Lambs,1991,8.6
Love & Other Drugs,2010,6.7
Saturday Night Live,2010,8.0
Star Trek: Discovery,2010,7.2
Red Rocket,2021,7.4
Scrubs,2021,8.3
Hush,2016,6.6
Line of Duty,2016,8.7
Gunpowder Milkshake,2021,6.0
Pleasure,2021,6.9
Agents of S.H.I.E.L.D.,2021,7.5
The Good Place,2021,8.2
Candyman,1992,6.7
True Blood,1992,7.8
Shadow and Bone,1992,7.7
How to Get Away with Murder,1992,8.1
Thir13en Ghosts,2001,5.6
The Fall,2001,8.1
Mad Max: Fury Road,2015,8.1
Mindhunter,2015,8.6
Man on Fire,2004,7.7
Tusk,2014,5.3
Red Election,2014,6.1
The World Is Not Enough,1999,6.4
Halloweentown,1998,6.7
Invincible,1998,8.7
Perry Mason,1998,8.2
Chesapeake Shores,1998,7.5
Star Trek: Voyager,1998,7.8
Creepshow,1998,7.1
On Her Majesty's Secret Service,1969,6.7
Grown Ups,2010,6.0
Fear Street: 1994,2021,6.2
Goodfellas,1990,8.7
Mom,1990,7.2
Army of Thieves,2021,No Rate
The Big Leap,2021,6.8
Inglourious Basterds,2009,8.3
CODA,2021,8.1
The Goonies,1985,7.8
"Murder, She Wrote",1985,7.0
The Fifth Element,1997,7.7
The L Word: Generation Q,1997,7.4
Once Upon a Time in America,1984,8.3
Wentworth,1984,8.6
Demon Slayer: Kimetsu No Yaiba,1984,8.7
30 Rock,1984,8.2
The King's Man,2021,No Rate
BoJack Horseman,2021,8.7
Scaredy Cats,2021,6.3
Nightbooks,2021,5.8
Acapulco,2021,6.3
The Lighthouse,2019,7.5
Psych,2019,8.3
NCIS: Los Angeles,2019,6.7
The Wonder Years,2019,5.5
Columbo,2019,8.3
The Courier,2020,7.1
Love Strikes Twice,2021,7.2
Stargate SG-1,2021,8.4
One Tree Hill,2021,7.7
Luca,2021,7.5
Ghost Ship,2002,5.5
My Son,2021,6.0
The Marvelous Mrs. Maisel,2021,8.7
Little Women,2019,7.8
Antlers,2021,7.1
Forrest Gump,1994,8.8
Star Trek,2009,7.9
Addams Family Values,1993,6.8
Sex and the City,1993,7.2
Blindspot,1993,7.4
He's All That,2021,4.3
Star Trek,2021,8.3
Kingsman: The Secret Service,2014,7.7
The Conjuring,2013,7.5
Jurassic World: Dominion,2022,No Rate
Oldeuboi,2003,8.4
Live and Let Die,1973,6.8
Corpse Bride,2005,7.3
Gotham,2005,7.8
Catch Me If You Can,2002,8.1
Frasier,2002,8.1
Home Economics,2002,6.3
Twilight,2008,5.2
Deadpool,2016,8.0
The Eyes of Tammy Faye,2021,7.0
Hacks,2021,8.2
American Night,2021,5.2
Kingdom,2021,8.4
Bull,2021,7.0
Spider-Man: Far from Home,2019,7.4
Orange Is the New Black,2019,8.0
Superman and Lois,2019,7.9
Death in Paradise,2019,7.8
The Punisher,2019,8.5
Suicide Squad,2016,5.9
Mayday,2021,4.3
Fringe,2021,8.4
American Psycho,2000,7.6
Boss Level,2020,6.8
Bohemian Rhapsody,2018,7.9
La Venganza de las Juanas,2018,6.9
La vie d'Adèle,2013,7.7
24,2013,8.3
Casper,1995,6.1
Voyagers,2021,5.4
Vera,2021,8.0
Gaetmaeul Chachacha,2021,9.0
The Tragedy of Macbeth,2021,7.6
Escape Room,2019,6.4
The Conjuring: The Devil Made Me Do It,2021,6.3
Arrested Development,2021,8.7
Boardwalk Empire,2021,8.5
Spartacus: Blood and Sand,2021,8.5
A Clockwork Orange,1971,8.3
All Creatures Great and Small,1971,8.4
Modern Love,1971,8.0
Thor: Love and Thunder,2022,No Rate
For All Mankind,2022,7.9
Zombieland: Double Tap,2019,6.7
Hubie Halloween,2020,5.2
Those Who Wish Me Dead,2021,6.0
After,2019,5.3
Hitman's Wife's Bodyguard,2021,6.1
Ron's Gone Wrong,2021,6.8
The Premise,2021,6.2
Narcos,2021,8.8
Prisoners of the Ghostland,2021,4.2
Back to the Future,1985,8.5
Young Frankenstein,1974,8.0
Élite,1974,7.5
Avatar: The Last Airbender,1974,9.3
Halloween III: Season of the Witch,1982,5.0
Avengers: Infinity War,2018,8.4
Justified,2018,8.6
Wind River,2017,7.7
Wu-Tang: An American Saga,2017,8.3
Charlie's Angels,2019,4.9
The School of Rock,2003,7.1
Scorpion,2003,7.1
Final Space,2003,8.3
Hellraiser,1987,7.0
Hall Pass,2011,5.8
D.P.,2011,8.4
House of Cards,2011,8.7
Charmed,2011,7.1
Guardians of the Galaxy,2014,8.0
Lost in Space,2014,7.3
Stillwater,2021,6.6
Alien,1979,8.4
Se7en,1995,8.6
Thor: Ragnarok,2017,7.9
Space Jam: A New Legacy,2021,4.4
Top Gun: Maverick,2022,No Rate
Tomorrow Never Dies,1997,6.5
Druk,2020,7.8
Captain Marvel,2019,6.8
Godzilla vs. Kong,2021,6.4
Gerald's Game,2017,6.5
Jurassic Park,1993,8.1
That '70s Show,1993,8.0
Something Borrowed,2011,5.9
The Golden Girls,2011,8.0
The Leftovers,2011,8.3
The Mentalist,2011,8.1
Naruto: Shippûden,2011,8.6
No Country for Old Men,2007,8.1
Goldfinger,1964,7.7
The Other Two,1964,7.7
Blade Runner,1982,8.1
The Killing,1982,8.2
Smallville,1982,7.5
Jack Ryan,1982,8.1
Monk,1982,8.0
The Forever Purge,2021,5.4
John Wick,2014,7.4
Gunsmoke,2014,8.0
The Girl with the Dragon Tattoo,2011,7.8
She's All That,1999,5.9
The Thing,1982,8.1
Jaws,1975,8.0
Star Wars: Episode IX - The Rise of Skywalker,2019,6.5
Lupin,2019,7.5
Little House on the Prairie,2019,7.5
The Gentlemen,2019,7.8
Halloween 4: The Return of Michael Myers,1988,5.9
Schindler's List,1993,8.9
The Matrix Reloaded,2003,7.2
Legacies,2003,7.4
The Blue Lagoon,1980,5.8
M*A*S*H,1980,8.4
The Survivalist,2021,3.2
9-1-1: Lone Star,2021,6.9
Little Shop of Horrors,1986,7.0
The Holiday,2006,6.9
Cats,2019,2.7
Mission: Impossible 7,2022,No Rate
Murdoch Mysteries,2022,8.2
Untitled Indiana Jones Project,2022,No Rate
Forever Rich,2021,5.5
Mr. Corman,2021,6.4
Gossip Girl,2021,7.4
The Dark Knight Rises,2012,8.4
The Little Things,2021,6.3
The Evil Dead,1981,7.5
The Outpost,1981,6.4
The Equalizer,1981,4.9
A Quiet Place,2018,7.5
The Originals,2018,8.2
Desperate Housewives,2018,7.5
The Dead Don't Die,2019,5.5
Army of the Dead,2021,5.8
PAW Patrol: The Movie,2021,6.2
A Knight's Tale,2001,6.9
Dawn of the Dead,2004,7.3
Why Women Kill,2004,8.3
Fifty Shades of Grey,2015,4.1
Big Little Lies,2015,8.5
Emma.,2020,6.7
Arrival,2016,7.9
Spider-Man: Homecoming,2017,7.4
Poirot,2017,8.6
Eyes Wide Shut,1999,7.4
Everybody's Talking About Jamie,2021,6.2
Ready Player One,2018,7.4
Glee,2018,6.7
Diana,2021,4.6
Edward Scissorhands,1990,7.9
War of the Worlds,1990,6.4
The Internship,2013,6.3
Dracula,1992,7.4
Anna,2019,6.6
The Exorcist,1973,8.0
Hanma Baki: Son of Ogre,1973,6.7
The Birds,1963,7.7
Call Me by Your Name,2017,7.9
Twin Peaks,2017,8.8
Get Out,2017,7.7
Spider-Man 3,2007,6.2
The Craft,1996,6.4
Black Panther,2018,7.3
White Collar,2018,8.2
Ten Year Old Tom,2018,8.3
Die Hard,1988,8.2
Mass,2021,7.9
Jaguar,2021,5.7
Birds of Paradise,2021,5.8
The Girl Next Door,2004,6.7
A Discovery of Witches,2004,8.0
Don't Breathe,2016,7.1
We're the Millers,2013,7.0
Saving Private Ryan,1998,8.6
The Grand Budapest Hotel,2014,8.1
The Invisible Man,2020,7.1
Ida Red,2021,5.5
The VVitch: A New-England Folktale,2015,6.9
Letterkenny,2015,8.6
The King,2019,7.2
Ready or Not,2019,6.9
Green Lantern,2011,5.5
Nomadland,2020,7.4
Barry Lyndon,1975,8.1
Retfærdighedens ryttere,2020,7.6
The Hangover,2009,7.7
What We Do in the Shadows,2014,7.7
Raya and the Last Dragon,2021,7.4
Lolita,1997,6.9
The Amazing Spider-Man,2012,6.9
Final Destination,2000,6.7
The West Wing,2000,8.8
Donnie Darko,2001,8.0
Shershaah,2021,8.7
Person of Interest,2021,8.4
Leverage,2021,7.9
The O.C.,2021,7.5
His Dark Materials,2021,7.9
Married with Children,2021,8.0
The Good Wife,2021,8.3
Licence to Kill,1989,6.6
Grave,2016,7.0
Harry Potter and the Goblet of Fire,2005,7.7
Freaky,2020,6.4
The Cleaner,2020,7.0
The Expendables 4,2020,No Rate
Grace and Frankie,2020,8.2
Madres,2021,4.7
Shutter Island,2010,8.2
Under Wraps,2021,4.7
Entourage,2021,8.4
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Avatar,2009,7.8
The Flight Attendant,2009,7.1
The Princess Bride,1987,8.1
The Last of Us,1987,No Rate
The Mummy,1999,7.0
Super Mario Bros.,1993,4.1
Elementary,1993,7.9
Star Trek: Picard,1993,7.5
The Addams Family,1993,7.9
Scream 2,1997,6.2
A.P. Bio,1997,7.4
Into the Night,1997,7.1
In the Dark,1997,7.5
The Hunt,2020,6.5
Tomb Raider,2018,6.3
The Prestige,2006,8.5
Spider-Man: Into the Spider-Verse,2018,8.4
Orphan,2009,7.0
The Hills Have Eyes,2006,6.4
Jumper,2008,6.1
Banshee,2008,8.4
Atypical,2008,8.3
God's Not Dead: We the People,2021,3.7
Us,2019,6.8
Sicario,2015,7.6
Dynasty,2015,7.3
Whiplash,2014,8.5
Sabrina the Teenage Witch,2014,6.7
Boogie Nights,1997,7.9
Deadpool 2,2018,7.7
Copshop,2021,6.4
Fright Night,1985,7.1
It Chapter Two,2019,6.5
Another Life,2019,5.0
Taboo,2019,8.4
Sweet Girl,2021,5.5
Star Wars: The Clone Wars,2021,8.3
One Summer,2021,7.3
Downton Abbey,2019,7.4
Miracle Workers,2019,7.1
Pride & Prejudice,2005,7.8
Most Dangerous Game,2005,7.0
13 Reasons Why,2005,7.5
News of the World,2020,6.8
The Great Gatsby,2013,7.2
Night Teeth,2021,No Rate
Thalaivi,2021,6.1
Friday the 13th,2009,5.5
The Green Mile,1999,8.6
Hannibal,1999,8.5
Papillon,2017,7.2
The Texas Chain Saw Massacre,1974,7.5
Fleabag,1974,8.7
Official Secrets,2019,7.3
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0
Battlestar Galactica,2003,8.7
Pretty Little Liars,2003,7.4
Man of Steel,2013,7.0
Live by Night,2016,6.4
In Time,2011,6.7
The Social Network,2010,7.7
Hamilton,2020,8.4
Raised by Wolves,2020,7.5
Queen of the South,2020,8.0
Power Book III: Raising Kanan,2020,7.3
Injustice,2021,No Rate
Halloween H20: 20 Years Later,1998,5.8
The Big Short,2015,7.8
Prometheus,2012,7.0
Project X,2012,6.6
The Sixth Sense,1999,8.1
From Russia with Love,1963,7.4
Never Have I Ever,1963,7.8
The Good Fight,1963,8.3
Dear White People,1963,6.2
"Roswell, New Mexico",1963,6.3
Sweet Tooth,1963,7.9
Pose,1963,8.6
Dawson's Creek,1963,6.7
Nocturnal Animals,2016,7.5
The Man in the High Castle,2016,8.0
Mars Attacks!,1996,6.3
The Devil All the Time,2020,7.1
Sen to Chihiro no kamikakushi,2001,8.6
Practical Magic,1998,6.3
Love,2015,6.1
Cheers,2015,7.9
The Flash,2022,No Rate
Chilling Adventures of Sabrina,2022,7.5
The Lost Boys,1987,7.3
Chaos Walking,2021,5.7
The Cabin in the Woods,2011,7.0
Troy,2004,7.3
Saved by the Bell,2004,7.0
Jumanji: The Next Level,2019,6.7
Taxi Driver,1976,8.2
Halloween Ends,2022,No Rate
Spiral: From the Book of Saw,2021,5.3
Our Kind of People,2021,5.0
I Know What You Did Last Summer,1997,5.7
Tokyo Revengers,1997,8.4
Motherland: Fort Salem,1997,7.3
Nightcrawler,2014,7.8
Malcolm in the Middle,2014,8.0
After We Collided,2020,5.2
The Twilight Zone,2020,9.0
Black Swan,2010,8.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1
The Greatest Showman,2017,7.6
Scarface,1983,8.3
Requiem for a Dream,2000,8.3
Tacoma FD,2000,8.1
All American,2000,7.6
The Americans,2000,8.4
3%,2000,7.4
Unforgotten,2000,8.3
The Haunted Mansion,2003,5.1
West Side Story,2021,No Rate
American Beauty,1999,8.3
Mumbai Diaries 26/11,1999,8.8
Sleepy Hollow,1999,7.3
Halloween II,2009,4.8
Legally Blonde,2001,6.4
Gossip Girl,2001,5.3
Ex Machina,2014,7.7
Snowpiercer,2014,6.9
Last Man Standing,2014,7.5
Narcos: México,2014,8.4
"Love, Death & Robots",2014,8.5
Harry Potter and the Chamber of Secrets,2002,7.4
Mythic Quest: Raven's Banquet,2002,7.7
Saw,2004,7.6
Good Will Hunting,1997,8.3
Halloween: Resurrection,2002,4.0
Psycho,1960,8.5
"Doogie Kamealoha, M.D.",1960,5.8
Hacksaw Ridge,2016,8.1
The Revenant,2015,8.0
Fear Street: 1978,2021,6.7
Coraline,2009,7.7
Vivo,2021,6.7
The Nevers,2021,7.4
The Conners,2021,5.3
Van Helsing,2004,6.1
Baywatch,2004,5.3
Logan,2017,8.1
Jojo Rabbit,2019,7.9
Fantasy Island,2019,6.0
Dazed and Confused,1993,7.6
The Chair,1993,7.2
One Hour Photo,2002,6.8
Walker,2002,6.1
Top Gun,1986,6.9
Idi i smotri,1985,8.3
The Larkins,1985,4.8
Six Feet Under,1985,8.7
Men in Black,1997,7.3
The Lord of the Rings: The Return of the King,2003,8.9
Britannia,2003,6.8
Small Engine Repair,2021,6.6
Toma,2021,9.3
The Lord of the Rings,2021,No Rate
Star Wars,1977,8.6
The Stand,1977,5.5
The Wonder Years,1977,8.3
Death Note: Desu nôto,1977,9.0
MacGyver,1977,5.4
On the Verge,1977,6.5
Clueless,1995,6.9
Baby Driver,2017,7.6
The Ice Road,2021,5.6
Harry Potter and the Prisoner of Azkaban,2004,7.9
The Outsiders,1983,7.1
The Last House on the Left,2009,6.5
The Lost Daughter,2021,6.6
Escape the Undertaker,2021,4.1
Scott Pilgrim vs. the World,2010,7.5
The Mauritanian,2021,7.5
American Pie,1999,7.0
Halloween 5: The Revenge of Michael Myers,1989,5.1
12 Angry Men,1957,9.0
Doctor Strange in the Multiverse of Madness,2022,No Rate
Death Proof,2007,7.0
Atonement,2007,7.8
Longmire,2007,8.3
The Avengers,2012,8.0
Suedi,2021,6.4
NCIS: New Orleans,2021,6.8
Naruto,2021,8.3
Moonrise Kingdom,2012,7.8
Clue,1985,7.3
El hoyo,2019,7.0
In the Heights,2021,7.4
Kamisama no iu tôri,2014,6.4
Altered Carbon,2014,8.0
SAS: Red Notice,2021,5.1
What Is Life Worth,2020,6.8
Scary Stories to Tell in the Dark,2019,6.2
Enterprise,2019,7.5
Deadwood,2019,8.6
No Sudden Move,2021,6.5
The Neighborhood,2021,6.4
Red Notice,2021,No Rate
Barry,2021,8.3
The Irishman,2019,7.8
Step Brothers,2008,6.9
BAC Nord,2020,6.9
Charlie and the Chocolate Factory,2005,6.6
Broadchurch,2005,8.4
Dunkirk,2017,7.8
Firefly,2017,9.0
Aquaman,2018,6.9
Cashback,2006,7.1
The Boss Baby: Family Business,2021,5.9
The Living Daylights,1987,6.7
28 Days Later...,2002,7.6
John Wick: Chapter 4,2022,No Rate
Invasion,2022,No Rate
The King of Queens,2022,7.3
American Dad!,2022,7.3
Night Hunter,2018,5.9
Love and Monsters,2020,7.0
The Bold Type,2020,7.9
Doctor Strange,2016,7.5
Wrong Turn,2021,5.5
Soul,2020,8.1
Avengers: Age of Ultron,2015,7.3
Silicon Valley,2015,8.5
There Will Be Blood,2007,8.2
Maleficent,2014,7.0
Cars,2006,7.1
"Beverly Hills, 90210",2006,6.4
Designated Survivor,2006,7.5
Oz,2006,8.7
Premonition,2007,5.9
A Nightmare on Elm Street 3: Dream Warriors,1987,6.6
The Witches,2020,5.3
SpongeBob SquarePants,2020,8.2
iZombie,2020,7.8
The Great British Bake Off,2020,8.5
Iron Man,2008,7.9
The Village,2004,6.5
Hunter x Hunter,2004,9.0
Fuimos canciones,2021,5.3
Private Practice,2021,6.7
300,2006,7.6
Thor,2011,7.0
The Lobster,2015,7.2
Transformers,2007,7.0
Batwoman,2007,3.4
The Chosen,2007,9.6
Ray Donovan,2007,8.3
Sense8,2007,8.3
The Boy in the Striped Pyjamas,2008,7.8
Finch,2021,No Rate
Annette,2021,6.4
Training Day,2001,7.7
The VelociPastor,2018,5.1
Raiders of the Lost Ark,1981,8.4
CSI: Miami,1981,6.4
Pearl Harbor,2001,6.2
Matilda,1996,6.9
The Amazing Spider-Man 2,2014,6.6
Love Life,2014,7.5
Coco,2017,8.4
Desperado,1995,7.2
Judas and the Black Messiah,2021,7.5
Grimm,2021,7.8
Gomorra: La serie,2021,8.7
Alita: Battle Angel,2019,7.3
The Godfather: Part II,1974,9.0
Pitch Perfect,2012,7.1
Prodigal Son,2012,7.7
